"workclass","occupation","capital-gain","capital-loss","hours-per-week","native-country","earnings-probability"
"State-gov","Adm-clerical",2174,0,40,"United-States","<=50K"
"Self-emp-not-inc","Exec-managerial",0,0,13,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,40,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"Cuba","<=50K"
"Private","Exec-managerial",0,0,40,"United-States","<=50K"
"Private","Other-service",0,0,16,"Jamaica","<=50K"
"Self-emp-not-inc","Exec-managerial",0,0,45,"United-States",">50K"
"Private","Prof-specialty",14084,0,50,"United-States",">50K"
"Private","Exec-managerial",5178,0,40,"United-States",">50K"
"Private","Exec-managerial",0,0,80,"United-States",">50K"
"State-gov","Prof-specialty",0,0,40,"India",">50K"
"Private","Adm-clerical",0,0,30,"United-States","<=50K"
"Private","Sales",0,0,50,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States",">50K"
"Private","Transport-moving",0,0,45,"Mexico","<=50K"
"Self-emp-not-inc","Farming-fishing",0,0,35,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,40,"United-States","<=50K"
"Private","Sales",0,0,50,"United-States","<=50K"
"Self-emp-not-inc","Exec-managerial",0,0,45,"United-States",">50K"
"Private","Prof-specialty",0,0,60,"United-States",">50K"
"Private","Other-service",0,0,20,"United-States","<=50K"
"Federal-gov","Farming-fishing",0,0,40,"United-States","<=50K"
"Private","Transport-moving",0,2042,40,"United-States","<=50K"
"Private","Tech-support",0,0,40,"United-States","<=50K"
"Local-gov","Tech-support",0,0,40,"United-States",">50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,60,"South",">50K"
"Private","Exec-managerial",0,0,80,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Local-gov","Protective-serv",0,0,52,"United-States","<=50K"
"Private","Sales",0,0,44,"United-States","<=50K"
"Private","Exec-managerial",0,1408,40,"United-States","<=50K"
"Federal-gov","Adm-clerical",0,0,40,"United-States","<=50K"
"State-gov","Other-service",0,0,15,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,40,"Puerto-Rico","<=50K"
"Private","Machine-op-inspct",0,0,40,"United-States","<=50K"
"Private","Adm-clerical",0,0,25,"United-States","<=50K"
"Private","Sales",0,0,38,"United-States",">50K"
"Self-emp-not-inc","Prof-specialty",0,0,40,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,43,"United-States","<=50K"
"Self-emp-not-inc","Prof-specialty",0,0,40,"United-States","<=50K"
"Private","Tech-support",0,0,50,"United-States","<=50K"
"Private","Adm-clerical",0,0,40,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,35,"United-States","<=50K"
"Federal-gov","Prof-specialty",0,0,40,"United-States",">50K"
"Private","Machine-op-inspct",0,0,38,"United-States","<=50K"
"Private","Exec-managerial",0,0,40,"United-States","<=50K"
"State-gov","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,43,"United-States","<=50K"
"Private","Exec-managerial",0,0,40,"United-States","<=50K"
"Private","Other-service",0,0,30,"United-States","<=50K"
"Private","Prof-specialty",0,1902,60,"Honduras",">50K"
"Federal-gov","Exec-managerial",0,0,55,"United-States",">50K"
